date,ticker,baseline_selected,u1_selected,change_type
2018-03-31,2916,True,True,UNCHANGED
2018-03-31,3010,True,True,UNCHANGED
2018-03-31,3014,True,True,UNCHANGED
2018-03-31,3118,True,True,UNCHANGED
2018-03-31,3218,True,True,UNCHANGED
2018-03-31,3265,True,True,UNCHANGED
2018-03-31,3357,True,True,UNCHANGED
2018-03-31,3388,True,True,UNCHANGED
2018-03-31,3402,True,True,UNCHANGED
2018-03-31,3663,True,True,UNCHANGED
2018-03-31,4105,True,True,UNCHANGED
2018-03-31,4207,True,True,UNCHANGED
2018-03-31,4561,True,True,UNCHANGED
2018-03-31,5213,True,True,UNCHANGED
2018-03-31,5244,True,True,UNCHANGED
2018-03-31,5284,True,True,UNCHANGED
2018-03-31,5299,True,True,UNCHANGED
2018-03-31,6112,True,True,UNCHANGED
2018-03-31,6138,True,True,UNCHANGED
2018-03-31,6177,True,True,UNCHANGED
2018-03-31,6195,True,True,UNCHANGED
2018-03-31,6210,True,True,UNCHANGED
2018-03-31,6257,True,True,UNCHANGED
2018-03-31,6266,True,True,UNCHANGED
2018-03-31,6294,True,True,UNCHANGED
2018-03-31,6491,True,True,UNCHANGED
2018-03-31,6505,True,True,UNCHANGED
2018-03-31,6803,True,True,UNCHANGED
2018-03-31,8112,True,True,UNCHANGED
2018-03-31,8422,True,True,UNCHANGED
2018-03-31,8489,True,True,UNCHANGED
2018-03-31,8942,True,True,UNCHANGED
2018-03-31,9904,True,True,UNCHANGED
2018-03-31,9927,True,True,UNCHANGED
2018-03-31,9940,True,True,UNCHANGED
2018-03-31,9943,True,True,UNCHANGED
2018-04-30,1102,True,True,UNCHANGED
2018-04-30,1109,True,True,UNCHANGED
2018-04-30,1256,True,True,UNCHANGED
2018-04-30,1301,True,True,UNCHANGED
2018-04-30,1303,True,True,UNCHANGED
2018-04-30,1409,True,True,UNCHANGED
2018-04-30,1419,True,True,UNCHANGED
2018-04-30,1434,True,True,UNCHANGED
2018-04-30,1437,True,True,UNCHANGED
2018-04-30,1521,True,True,UNCHANGED
