factor,dir,mode,adv,sharpe,cagr,months
chip60,低,N=8,500萬,0.24878630162333493,5.501122949749693,256
chip_accel,高,top20%,500萬,0.11562700595298009,3.3651771394600294,256
chip_accel,高,top10%,500萬,0.03533868565598117,1.681171377487778,256
chip_accel,高,top5%,500萬,-0.03223263497758857,0.41517731590596796,256
chip_accel,高,N=25,500萬,-0.021172180445398685,0.6243757351895418,256
chip_accel,高,N=15,500萬,-0.019688498368345467,0.6476548997683684,256
chip_accel,高,N=8,500萬,-0.1389274498666546,-1.5669324909394655,256
chip_accel,低,top20%,500萬,0.23871977911071532,6.138022081380701,256
chip_accel,低,top10%,500萬,0.2542834498195984,6.209727693303058,256
chip_accel,低,top5%,500萬,0.1827665327004156,4.684534065356538,256
chip_accel,低,N=25,500萬,0.09779185302389395,2.9775001293541825,256
chip_accel,低,N=15,500萬,0.12443488665009841,3.5275362749934702,256
chip_accel,低,N=8,500萬,0.03096933624229285,1.636150500702227,256
revenue_yoy,高,top20%,500萬,0.5761156151317325,15.147577755564035,256
revenue_yoy,高,top10%,500萬,0.5489029610964201,15.148027869566882,256
revenue_yoy,高,top5%,500萬,0.4866022169034006,14.078699481444335,256
revenue_yoy,高,N=25,500萬,0.41623395185479156,12.667173472995351,256
revenue_yoy,高,N=15,500萬,0.3013776610400772,9.808605907878153,256
revenue_yoy,高,N=8,500萬,0.2187309846788915,7.780989413794037,256
revenue_yoy,低,top20%,500萬,-0.1407739052792136,-2.305550966716785,256
revenue_yoy,低,top10%,500萬,-0.20557882496951507,-3.9635446607607316,256
revenue_yoy,低,top5%,500萬,-0.25992028513974663,-5.470988494945028,256
revenue_yoy,低,N=25,500萬,-0.2478370414770358,-5.360420103313624,256
revenue_yoy,低,N=15,500萬,-0.22898756788173052,-5.1832194631258215,256
revenue_yoy,低,N=8,500萬,-0.1990362868673118,-4.6671927467271,256
rev_yoy_3m,高,top20%,500萬,0.6146924339500177,16.14008135943601,256
rev_yoy_3m,高,top10%,500萬,0.5983287275159159,16.452767670881173,256
rev_yoy_3m,高,top5%,500萬,0.5172147717036182,14.890546261941662,256
rev_yoy_3m,高,N=25,500萬,0.3824424589947298,11.481512011546124,256
rev_yoy_3m,高,N=15,500萬,0.31529278753742535,10.071034813610492,256
rev_yoy_3m,高,N=8,500萬,0.3306286564459076,10.515711392882721,256
rev_yoy_3m,低,top20%,500萬,-0.07846330567155313,-0.8526116561180297,256
rev_yoy_3m,低,top10%,500萬,-0.17796588495633003,-3.343185073698196,256
rev_yoy_3m,低,top5%,500萬,-0.2486801602443721,-5.361088394186265,256
rev_yoy_3m,低,N=25,500萬,-0.329026064024902,-7.400198052246731,256
rev_yoy_3m,低,N=15,500萬,-0.3486892729814381,-8.2740129099093,256
rev_yoy_3m,低,N=8,500萬,-0.32641688292786153,-8.71876448760618,256
rev_accel,高,top20%,500萬,0.26724258262486966,7.294056761943213,256
rev_accel,高,top10%,500萬,0.24880042112419043,7.017496971206905,256
rev_accel,高,top5%,500萬,0.1401445136532982,4.582995904160847,256
rev_accel,高,N=25,500萬,0.133618120941614,4.50424626944026,256
rev_accel,高,N=15,500萬,0.025923459757430004,1.719522702137688,256
rev_accel,高,N=8,500萬,0.11661712809673357,4.404905579613527,256
rev_accel,低,top20%,500萬,-0.007850404837096255,0.8188303902606275,256
rev_accel,低,top10%,500萬,-0.03676914622414626,0.12888027658504164,256
rev_accel,低,top5%,500萬,0.0038747745877852346,1.0968864551787805,256
rev_accel,低,N=25,500萬,-0.046202050645510556,-0.20259024490044686,256
rev_accel,低,N=15,500萬,-0.008799275814910256,0.7589284467963475,256
rev_accel,低,N=8,500萬,0.08611423067120709,3.503470514776441,256
high52_prox,高,top20%,500萬,0.7472782872655394,16.313534590793765,256
high52_prox,高,top10%,500萬,0.7285282967097443,16.471648428565967,256
high52_prox,高,top5%,500萬,0.738290422455798,17.818871394952374,256
high52_prox,高,N=25,500萬,0.7329680237101492,18.957935366576685,256
high52_prox,高,N=15,500萬,0.6115724574697909,16.4496151454278,256
high52_prox,高,N=8,500萬,0.8521831799095422,24.86820937358949,256
high52_prox,低,top20%,500萬,-0.01109767024163771,0.6848267754912207,256
